Customer_ID,LastPurchase,FirstPurchase,Frequency,Monetary,TotalQuantity,UniqueProducts,AverageOrderValue,Recency,CustomerLifetimeDays,Churn,Segment,RFM_Score,Cluster,ChurnProbability,RiskLevel
12346,2011-01-18 10:01:00,2009-12-14 08:34:00,12,77556.46,74285,27,2281.0723529411766,326,400,1,At Risk,12,1,0.38666666666666666,Medium Risk
12347,2011-12-07 15:52:00,2010-10-31 14:20:00,8,4921.53,2967,126,22.169054054054055,2,402,0,Champions,14,1,0.08,Low Risk
12348,2011-09-25 13:13:00,2010-09-27 14:59:00,5,2019.3999999999999,2714,25,39.59607843137255,75,362,0,Loyal Customers,11,1,0.5866666666666667,Medium Risk
12349,2011-11-21 09:51:00,2010-04-29 13:20:00,4,4428.6900000000005,1624,138,25.306800000000003,19,570,0,High Value Customers,13,1,0.12,Low Risk
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,197,17,19.67058823529412,310,0,1,Other,5,0,0.9366666666666666,High Risk
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,14.33,375,0,1,Other,5,0,0.9466666666666667,High Risk
12352,2011-11-03 14:37:00,2010-11-12 10:20:00,10,2849.84,724,70,27.668349514563108,36,356,0,Champions,13,1,0.19666666666666666,Low Risk
12353,2011-05-19 17:47:00,2010-10-27 12:44:00,2,406.76,212,23,16.948333333333334,204,204,1,Other,6,0,0.89,High Risk
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,18.610344827586207,232,0,1,Other,6,0,0.9166666666666666,High Risk
12355,2011-05-09 13:49:00,2010-05-21 11:59:00,2,947.61,543,35,27.074571428571428,214,353,1,Other,7,0,0.76,High Risk
12356,2011-11-17 08:40:00,2010-10-11 09:42:00,6,6371.7300000000005,3416,104,44.87133802816902,23,401,0,Champions,13,1,0.34,Medium Risk
12357,2011-11-06 16:07:00,2010-11-16 10:05:00,3,18287.66,6587,261,61.78263513513514,33,355,0,High Value Customers,12,1,0.16,Low Risk
12358,2011-12-08 10:26:00,2009-12-08 07:59:00,5,3887.07,1079,56,50.48142857142857,2,730,0,Champions,14,1,0.023333333333333334,Low Risk
12359,2011-10-13 12:47:00,2009-12-05 13:32:00,10,8873.39,2739,305,24.5121270718232,58,676,0,Champions,14,1,0.0,Low Risk
12360,2011-10-18 15:22:00,2010-02-22 09:32:00,8,4252.89,2459,160,19.59857142857143,52,603,0,Champions,13,1,0.0033333333333333335,Low Risk
12361,2011-02-25 13:51:00,2010-01-26 14:37:00,4,511.25,235,18,17.629310344827587,287,394,1,At Risk,7,0,0.44,Medium Risk
12362,2011-12-06 15:40:00,2009-12-01 10:10:00,11,5356.2300000000005,2230,201,20.060786516853934,3,735,0,Champions,15,1,0.016666666666666666,Low Risk
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,552.0,408,23,24.0,110,132,1,Other,7,0,0.6966666666666667,High Risk
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1313.1,1506,70,15.448235294117646,8,104,0,High Value Customers,12,1,0.18,Low Risk
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,2,641.38,174,22,29.153636363636362,291,0,1,Other,7,0,0.8933333333333333,High Risk
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,296,3,166.74666666666667,634,0,1,Other,4,0,0.8933333333333333,High Risk
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,11,15.354545454545455,4,0,0,New / Potential,7,0,0.4666666666666667,Medium Risk
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.7,330,18,50.983333333333334,628,0,1,Other,5,0,0.81,High Risk
