Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12346,326,12,77556.46,2,5,5,12,At Risk,1
12347,2,8,4921.53,5,4,5,14,Champions,1
12348,75,5,2019.3999999999999,3,4,4,11,Loyal Customers,1
12349,19,4,4428.6900000000005,5,3,5,13,High Value Customers,1
12350,310,1,334.40000000000003,2,1,2,5,Other,0
12351,375,1,300.93,2,1,2,5,Other,0
12352,36,10,2849.84,4,5,4,13,Champions,1
12353,204,2,406.76,2,2,2,6,Other,0
12354,232,1,1079.4,2,1,3,6,Other,0
12355,214,2,947.61,2,2,3,7,Other,0
12356,23,6,6371.7300000000005,4,4,5,13,Champions,1
12357,33,3,18287.66,4,3,5,12,High Value Customers,1
12358,2,5,3887.07,5,4,5,14,Champions,1
12359,58,10,8873.39,4,5,5,14,Champions,1
12360,52,8,4252.89,4,4,5,13,Champions,1
12361,287,4,511.25,2,3,2,7,At Risk,0
12362,3,11,5356.2300000000005,5,5,5,15,Champions,1
12363,110,2,552.0,3,2,2,7,Other,0
12364,8,4,1313.1,5,3,4,12,High Value Customers,1
12365,291,2,641.38,2,2,3,7,Other,0
12366,634,1,500.24,1,1,2,4,Other,0
12367,4,1,168.9,5,1,1,7,New / Potential,0
12368,628,1,917.7,1,1,3,5,Other,0
12369,413,3,1791.15,1,3,4,8,At Risk,0
12370,51,7,4316.56,4,4,5,13,Champions,1
12371,45,5,4067.38,4,4,5,13,Champions,1
12372,72,3,1298.04,3,3,4,10,High Value Customers,0
12373,311,3,1127.65,2,3,3,8,At Risk,0
12374,25,4,2989.2200000000003,4,3,5,12,High Value Customers,1
12375,11,2,457.5,5,2,2,9,New / Potential,0
12376,390,2,503.15,2,2,2,6,Other,0
12377,315,4,3426.32,2,3,5,10,At Risk,0
12378,130,2,5416.32,3,2,5,10,High Value Customers,0
12379,82,4,1620.22,3,3,4,10,High Value Customers,1
12380,22,11,9676.300000000001,4,5,5,14,Champions,1
12381,5,5,1845.31,5,4,4,13,Champions,1
12383,185,5,1850.56,3,4,4,11,Loyal Customers,0
12384,29,2,585.27,4,2,2,8,New / Potential,0
12385,379,1,1938.4,2,1,4,7,Other,0
12386,338,2,401.9,2,2,2,6,Other,0
12387,415,1,143.94,1,1,1,3,Other,0
12388,16,8,3901.11,5,4,5,14,Champions,1
12389,403,3,1433.33,2,3,4,9,At Risk,0
12390,80,1,549.84,3,1,2,6,Other,0
12391,22,6,2724.84,4,4,4,12,Champions,1
12392,591,1,234.75000000000003,1,1,1,3,Other,0
12393,72,6,2399.45,3,4,4,11,Loyal Customers,1
12394,64,2,1272.48,3,2,4,9,High Value Customers,0
12395,19,15,4721.17,5,5,5,15,Champions,1
12396,674,1,931.4300000000001,1,1,3,5,Other,0
12397,36,2,2409.9,4,2,4,10,High Value Customers,1
12398,46,1,1635.6599999999999,4,1,4,9,High Value Customers,0
12399,119,7,1962.3,3,4,4,11,Loyal Customers,1
12400,414,1,205.25,1,1,1,3,Other,0
12401,303,1,84.3,2,1,1,4,Other,0
12402,323,6,1256.9,2,4,4,10,At Risk,0
