Country,Revenue,Orders,Quantity
United Kingdom,14389234.917,33541,8532411
EIRE,616570.54,567,318021
Netherlands,554038.09,228,383879
Germany,425019.711,789,225154
France,348768.96,614,270288
Australia,169283.46,95,103759
Spain,108332.49,154,50307
Switzerland,100061.94,90,52227
Sweden,91515.82,104,88495
Denmark,68580.69,43,237471
Belgium,65387.82,149,34768
Norway,56322.5,45,23621
Portugal,55554.78,93,27423
Channel Islands,44623.33,55,21396
Japan,43023.91,33,31643
Italy,32108.170000000002,65,15312
Finland,29925.54,57,14375
Singapore,25317.06,11,6994
Cyprus,24849.95,37,10950
Austria,23613.010000000002,45,11578
Greece,19096.19,18,7724
Poland,10654.29,28,5688
Israel,10415.24,7,5175
United Arab Emirates,9202.69,11,5839
Unspecified,8607.35,16,5113
USA,8366.86,20,5264
Malta,8099.09,9,2519
Iceland,4921.53,8,2967
Lithuania,4892.68,6,2306
Canada,4883.04,8,3657
Thailand,3070.54,2,2552
RSA,1933.74,2,942
Lebanon,1693.88,1,386
Brazil,1411.8700000000001,2,545
Bahrain,1354.3700000000001,4,755
European Community,1300.25,4,499
Korea,1118.51,2,700
Czech Republic,826.74,2,671
West Indies,536.41,1,395
Saudi Arabia,145.92000000000002,1,80
Nigeria,140.39,2,103
