Customer_ID,Recency,Frequency,Monetary,Segment,ChurnProbability,RiskLevel
16754,372,29,65500.07,At Risk,0.74,High Risk
15749,235,3,44534.3,At Risk,0.8066666666666666,High Risk
15098,182,3,39916.5,High Value Customers,0.9066666666666666,High Risk
13802,139,19,26259.11,Loyal Customers,0.7233333333333334,High Risk
12482,576,29,23691.4,At Risk,0.7866666666666666,High Risk
14063,438,9,22710.2,At Risk,0.77,High Risk
13027,114,19,17239.2,Loyal Customers,0.7566666666666667,High Risk
15808,306,21,17180.25,At Risk,0.65,High Risk
16553,163,33,16584.01,Loyal Customers,0.75,High Risk
13564,144,37,16498.97,Loyal Customers,0.7433333333333333,High Risk
16180,100,13,16249.87,Loyal Customers,0.75,High Risk
12980,158,21,16245.78,Loyal Customers,0.84,High Risk
15768,116,34,15308.89,Loyal Customers,0.67,High Risk
18087,98,17,14761.52,Loyal Customers,0.6766666666666666,High Risk
15760,631,2,13916.34,Other,0.96,High Risk
13952,218,14,12823.521,At Risk,0.7,High Risk
13687,438,1,11880.84,Other,0.7166666666666667,High Risk
14016,162,11,11403.41,Loyal Customers,0.6833333333333333,High Risk
14134,383,15,11123.35,At Risk,0.76,High Risk
15032,256,8,11010.05,At Risk,0.7966666666666666,High Risk
14045,109,16,10986.63,Loyal Customers,0.74,High Risk
12918,626,1,10953.5,Other,0.8166666666666667,High Risk
18052,565,1,10877.18,Other,0.9033333333333332,High Risk
14028,550,3,10396.5,At Risk,0.8033333333333333,High Risk
18260,173,23,9947.26,Loyal Customers,0.61,High Risk
12758,117,7,9903.24,Loyal Customers,0.69,High Risk
12590,211,2,9864.26,Other,0.8766666666666667,High Risk
14091,654,2,9530.08,Other,0.9033333333333332,High Risk
17230,264,18,9388.49,At Risk,0.7333333333333333,High Risk
13162,122,16,9275.49,Loyal Customers,0.63,High Risk
14160,610,7,8421.47,At Risk,0.7766666666666666,High Risk
13206,400,13,8308.19,At Risk,0.7133333333333334,High Risk
12643,128,12,8304.82,Loyal Customers,0.7933333333333333,High Risk
13715,281,17,8153.04,At Risk,0.66,High Risk
13869,123,10,7996.87,Loyal Customers,0.6566666666666666,High Risk
17085,123,28,7847.67,Loyal Customers,0.6466666666666666,High Risk
17409,185,10,7793.51,Loyal Customers,0.7533333333333333,High Risk
14145,47,7,7600.05,Champions,0.6333333333333333,High Risk
15581,121,38,7480.4,Loyal Customers,0.7066666666666667,High Risk
13082,126,21,7335.75,Loyal Customers,0.67,High Risk
15413,692,5,6798.72,At Risk,0.78,High Risk
13734,509,4,6695.6900000000005,At Risk,0.8766666666666667,High Risk
14855,119,7,6520.3,Loyal Customers,0.7733333333333333,High Risk
14154,239,8,6460.7,At Risk,0.66,High Risk
15480,116,5,6279.0,Loyal Customers,0.7566666666666667,High Risk
13615,319,8,6272.53,At Risk,0.72,High Risk
13935,597,3,6116.92,At Risk,0.86,High Risk
18178,129,11,6103.74,Loyal Customers,0.6866666666666666,High Risk
15372,137,8,6017.06,Loyal Customers,0.81,High Risk
15202,420,3,6001.49,At Risk,0.9333333333333332,High Risk
16456,99,13,6000.94,Loyal Customers,0.72,High Risk
12835,428,41,5996.83,At Risk,0.7833333333333333,High Risk
14105,239,5,5988.83,At Risk,0.7766666666666666,High Risk
14918,116,9,5955.81,Loyal Customers,0.79,High Risk
17146,106,13,5852.64,Loyal Customers,0.7566666666666667,High Risk
13722,132,10,5635.41,Loyal Customers,0.7033333333333334,High Risk
16320,172,6,5628.99,Loyal Customers,0.7366666666666667,High Risk
17204,175,9,5504.6900000000005,Loyal Customers,0.7166666666666667,High Risk
13593,108,14,5493.29,Loyal Customers,0.8233333333333334,High Risk
12378,130,2,5416.32,High Value Customers,0.7533333333333333,High Risk
14459,155,2,5375.741,High Value Customers,0.8366666666666667,High Risk
14442,205,7,5367.02,At Risk,0.8633333333333333,High Risk
15641,105,12,5345.55,Loyal Customers,0.6533333333333333,High Risk
16546,291,5,5307.07,At Risk,0.8033333333333333,High Risk
14930,109,6,5236.7300000000005,Loyal Customers,0.7933333333333333,High Risk
15812,107,12,5201.47,Loyal Customers,0.6333333333333333,High Risk
12510,143,9,5178.02,Loyal Customers,0.7366666666666667,High Risk
12625,212,4,5164.88,At Risk,0.7966666666666666,High Risk
16919,156,24,4909.66,Loyal Customers,0.7766666666666666,High Risk
15332,366,6,4892.68,At Risk,0.8,High Risk
13659,206,12,4884.68,At Risk,0.7433333333333333,High Risk
15379,169,8,4877.84,Loyal Customers,0.7,High Risk
12688,114,1,4873.81,High Value Customers,0.83,High Risk
14081,302,10,4867.57,At Risk,0.6933333333333334,High Risk
13044,291,11,4848.05,At Risk,0.7333333333333333,High Risk
17829,299,5,4756.74,At Risk,0.8033333333333333,High Risk
13958,380,8,4709.2300000000005,At Risk,0.74,High Risk
17050,96,11,4648.59,Loyal Customers,0.7366666666666667,High Risk
17400,126,8,4623.28,Loyal Customers,0.7,High Risk
13851,96,8,4606.46,Loyal Customers,0.7333333333333333,High Risk
14685,576,8,4536.64,At Risk,0.7866666666666666,High Risk
17308,393,2,4511.76,At Risk,0.9,High Risk
14625,196,11,4497.88,At Risk,0.79,High Risk
18064,133,11,4481.83,Loyal Customers,0.7566666666666667,High Risk
12916,139,7,4479.73,Loyal Customers,0.7066666666666667,High Risk
18093,93,8,4452.71,Loyal Customers,0.8366666666666667,High Risk
16118,653,1,4376.25,Other,0.8533333333333334,High Risk
12917,128,6,4359.2,Loyal Customers,0.6866666666666666,High Risk
16858,369,10,4292.59,At Risk,0.7733333333333333,High Risk
16125,367,14,4292.35,At Risk,0.8066666666666666,High Risk
