InvoiceDate,Revenue,Orders,Quantity
2009-12-31,683504.01,1512,398660
2010-01-31,555802.672,1011,370082
2010-02-28,504558.956,1104,371861
2010-03-31,696978.471,1524,502100
2010-04-30,591982.002,1329,350587
2010-05-31,597833.38,1377,384960
2010-06-30,636371.13,1497,389872
2010-07-31,589736.17,1381,324632
2010-08-31,602224.6,1293,452542
2010-09-30,829013.951,1689,567153
2010-10-31,1033112.01,2133,596432
2010-11-30,1166460.022,2587,653068
2010-12-31,570422.73,1400,311048
2011-01-31,568101.31,987,348473
2011-02-28,446084.92,997,265027
2011-03-31,594081.76,1321,347582
2011-04-30,468374.331,1149,291366
2011-05-31,677355.15,1555,372864
2011-06-30,660046.05,1393,363014
2011-07-31,598962.901,1331,367360
2011-08-31,644051.04,1280,397373
2011-09-30,950690.202,1755,543652
2011-10-31,1035642.45,1929,591543
2011-11-30,1156205.61,2657,665923
2011-12-31,517208.44,778,286778
