InvoiceDate,Revenue
2009-12-31,683504.01
2010-01-31,555802.672
2010-02-28,504558.956
2010-03-31,696978.471
2010-04-30,591982.002
2010-05-31,597833.38
2010-06-30,636371.13
2010-07-31,589736.17
2010-08-31,602224.6
2010-09-30,829013.951
2010-10-31,1033112.01
2010-11-30,1166460.022
2010-12-31,570422.73
2011-01-31,568101.31
2011-02-28,446084.92
2011-03-31,594081.76
2011-04-30,468374.331
2011-05-31,677355.15
2011-06-30,660046.05
2011-07-31,598962.901
2011-08-31,644051.04
2011-09-30,950690.202
2011-10-31,1035642.45
2011-11-30,1156205.61
2011-12-31,517208.44
