StockCode,Description,Revenue
22423,REGENCY CAKESTAND 3 TIER,277656.25
85123A,WHITE HANGING HEART T-LIGHT HOLDER,247048.01
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
M,Manual,151777.67
85099B,JUMBO BAG RED RETROSPOT,134307.44
POST,POSTAGE,124648.04
84879,ASSORTED COLOUR BIRD ORNAMENT,124351.86
47566,PARTY BUNTING,103283.38
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,76598.18000000001
79321,CHILLI LIGHTS,69084.3
85099F,JUMBO BAG STRAWBERRY,64127.77
21137,BLACK RECORD COVER FRAME,63092.12
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,55880.17
82484,WOOD BLACK BOARD ANT WHITE FINISH,54525.36
21621,VINTAGE UNION JACK BUNTING,54432.62
15056N,EDWARDIAN PARASOL NATURAL,54332.61
85099C,JUMBO  BAG BAROQUE BLACK WHITE,52188.18
23084,RABBIT NIGHT LIGHT,51251.24
22470,HEART OF WICKER LARGE,49859.5
