ds,yhat,yhat_lower,yhat_upper,ForecastDemand
2011-11-10,478.2005597300172,-41.42822535412683,979.9938226464261,478.2005597300172
2011-11-11,336.17573421619903,-130.8693074210429,814.9720835502327,336.17573421619903
2011-11-12,172.48383957212013,-299.72483567619605,653.8526153685447,172.48383957212013
2011-11-13,230.11314290526104,-273.74338353738165,685.7141707469168,230.11314290526104
2011-11-14,292.6755542262311,-161.1436922798307,766.1037915023337,292.6755542262311
2011-11-15,325.1100438312864,-117.9897162280536,819.9110943881767,325.1100438312864
2011-11-16,279.1574145269345,-195.11865668594314,773.5973835194204,279.1574145269345
2011-11-17,402.61470505754596,-54.90690328833807,923.9119369447867,402.61470505754596
2011-11-18,258.53110367767135,-238.742735200255,764.8133132786336,258.53110367767135
2011-11-19,94.03420717457415,-416.5602345277139,569.1795050639788,94.03420717457415
2011-11-20,152.09175758460992,-310.97930302973907,647.0145536736102,152.09175758460992
2011-11-21,216.26757332674708,-236.29526614386862,703.7266140948786,216.26757332674708
2011-11-22,251.42597744671804,-219.0893710758078,738.9916470991174,251.42597744671804
2011-11-23,209.20823416281092,-313.66270592961297,662.0544111471589,209.20823416281092
2011-11-24,337.28923600808776,-158.08159131192807,787.6502129253571,337.28923600808776
2011-11-25,198.5762703770626,-234.85028653687482,658.1845646926021,198.5762703770626
2011-11-26,40.038635682841836,-434.30060362951343,523.7006779536557,40.038635682841836
2011-11-27,104.47316081181403,-403.7540295672264,567.4348427105012,104.47316081181403
2011-11-28,175.26425443401973,-347.82431332707154,614.4424900064113,175.26425443401973
2011-11-29,217.09268732539766,-290.4480816254948,695.74727593205,217.09268732539766
2011-11-30,181.41651238500754,-337.461427866897,664.8558099906045,181.41651238500754
2011-12-01,315.7322538921388,-190.91238283621723,799.5114670993848,315.7322538921388
2011-12-02,182.77808256724742,-305.0852773453263,637.9380870831542,182.77808256724742
2011-12-03,29.36763581243074,-447.2962393267389,493.6725690925858,29.36763581243074
2011-12-04,98.15943022528896,-331.30284012920106,600.8682196570925,98.15943022528896
2011-12-05,172.4203933992464,-325.3319277927424,644.6548386649507,172.4203933992464
2011-12-06,216.73762822632906,-285.70133117426195,683.6003996372473,216.73762822632906
2011-12-07,182.50173649449238,-307.8447561494617,643.7857509717714,182.50173649449238
2011-12-08,317.1697695117842,-157.91288806654018,783.0905456151161,317.1697695117842
2011-12-09,183.46947437245615,-313.29460850857174,647.4967539621605,183.46947437245615
